"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Postleitzahl";"Ort";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Letzte Aktualisierung"
"SEE934826202389";"WEA-3 N175";"In Planung";"";"18.9.2024";"Wind";"6800";"6800";"07619";"Schkölen";"Windpark Wetzdorf GmbH & Co. KG c/o Das Grüne Emissionshaus GmbH";"ABR914829576557";"18.9.2024"
"SEE956865060126";"Bürgerwindpark Borgentreich 13";"In Planung";"";"18.9.2024";"Wind";"6200";"6200";"34434";"Borgentreich";"Bürgerwindpark Borgentreich GmbH & Co. KG";"ABR994985777012";"18.9.2024"
"SEE965850317916";"WEA-4 N175";"In Planung";"";"18.9.2024";"Wind";"6800";"6800";"07619";"Schkölen";"Windpark Wetzdorf GmbH & Co. KG c/o Das Grüne Emissionshaus GmbH";"ABR914829576557";"18.9.2024"
"SEE999094383369";"Bürgerwindpark Borgentreich 14";"In Planung";"";"18.9.2024";"Wind";"6200";"6200";"34434";"Borgentreich";"Bürgerwindpark Borgentreich GmbH & Co. KG";"ABR994985777012";"18.9.2024"
"SEE923901667403";"WEA-5 N175";"In Planung";"";"18.9.2024";"Wind";"6800";"6800";"07619";"Schkölen";"Windpark Wetzdorf GmbH & Co. KG c/o Das Grüne Emissionshaus GmbH";"ABR914829576557";"18.9.2024"
"SEE958562030648";"Bürgerwindpark Borgentreich 15";"In Planung";"";"18.9.2024";"Wind";"6200";"6200";"34434";"Borgentreich";"Bürgerwindpark Borgentreich GmbH & Co. KG";"ABR994985777012";"18.9.2024"
"SEE905300219773";"WEA-6 N175";"In Planung";"";"18.9.2024";"Wind";"6800";"6800";"07619";"Schkölen";"Windpark Wetzdorf GmbH & Co. KG c/o Das Grüne Emissionshaus GmbH";"ABR914829576557";"18.9.2024"
"SEE947534436625";"Bürgerwindpark Borgentreich 16";"In Planung";"";"18.9.2024";"Wind";"6200";"6200";"34434";"Borgentreich";"Bürgerwindpark Borgentreich GmbH & Co. KG";"ABR994985777012";"18.9.2024"
"SEE976339457269";"WEA 02";"In Planung";"";"18.9.2024";"Wind";"7200";"7200";"37696";"Marienmünster";"Windpark Marienmünster-Altenbergen GbR";"ABR903044313115";"30.9.2024"
"SEE983441189179";"Bürgerwindpark Borgentreich 17";"In Planung";"";"18.9.2024";"Wind";"6200";"6200";"34434";"Borgentreich";"Bürgerwindpark Borgentreich GmbH & Co. KG";"ABR994985777012";"18.9.2024"
"SEE941834521111";"Bürgerwindpark Borgentreich 18";"In Planung";"";"18.9.2024";"Wind";"6200";"6200";"34434";"Borgentreich";"Bürgerwindpark Borgentreich GmbH & Co. KG";"ABR994985777012";"18.9.2024"
"SEE979154635997";"Bürgerwindpark Borgentreich 19";"In Planung";"";"18.9.2024";"Wind";"6200";"6200";"34434";"Borgentreich";"Bürgerwindpark Borgentreich GmbH & Co. KG";"ABR994985777012";"18.9.2024"
"SEE917304317096";"WEA 03";"In Planung";"";"18.9.2024";"Wind";"7200";"7200";"37696";"Marienmünster";"Windpark Marienmünster-Altenbergen GbR";"ABR903044313115";"30.9.2024"
"SEE906592047723";"Bürgerwindpark Borgentreich 20";"In Planung";"";"18.9.2024";"Wind";"6200";"6200";"34434";"Borgentreich";"Bürgerwindpark Borgentreich GmbH & Co. KG";"ABR994985777012";"18.9.2024"
"SEE927805364246";"Bürgerwindpark Borgentreich 21";"In Planung";"";"18.9.2024";"Wind";"6200";"6200";"34434";"Borgentreich";"Bürgerwindpark Borgentreich GmbH & Co. KG";"ABR994985777012";"18.9.2024"
"SEE927134447795";"AHR_01_Neu";"In Planung";"";"18.9.2024";"Wind";"6200";"6200";"23623";"Ahrensbök";"QE Windpark Ahrensbök GmbH";"ABR963336660112";"18.9.2024"
"SEE922838575454";"WEA 01";"In Betrieb";"5.9.2024";"17.9.2024";"Wind";"5700";"5700";"29386";"Dedelstorf";"Windpark Hankensbüttel GmbH";"ABR940007016058";"17.9.2024"
"SEE911463074814";"WEA 02";"In Betrieb";"3.9.2024";"17.9.2024";"Wind";"5700";"5700";"29386";"Dedelstorf";"Windpark Hankensbüttel GmbH";"ABR940007016058";"17.9.2024"
"SEE968551396839";"WEA 03";"In Betrieb";"11.9.2024";"17.9.2024";"Wind";"5700";"5700";"29386";"Dedelstorf";"Windpark Hankensbüttel GmbH";"ABR940007016058";"17.9.2024"
"SEE973214826011";"WEA 04";"In Betrieb";"5.9.2024";"17.9.2024";"Wind";"5700";"5700";"29386";"Hankensbüttel";"Windpark Hankensbüttel GmbH";"ABR940007016058";"17.9.2024"
"SEE938060207285";"WEA 05";"In Betrieb";"5.9.2024";"17.9.2024";"Wind";"5700";"5700";"29386";"Dedelstorf";"Windpark Hankensbüttel GmbH";"ABR940007016058";"17.9.2024"
"SEE978305346621";"Windkraft";"In Betrieb";"17.9.2024";"17.9.2024";"Wind";"1";"1";"81925";"München";"Hanspeter Fenzl Solarstrom";"ABR983294475948";"17.9.2024"
"SEE993604411979";"WEA 01";"In Planung";"";"17.9.2024";"Wind";"6200";"6200";"57319";"Bad Berleburg";"Eurowind Energy GmbH";"ABR928567608968";"17.9.2024"
"SEE976094038819";"DMVO 01";"In Planung";"";"17.9.2024";"Wind";"4260";"4260";"25821";"Vollstedt";"Dree Möhlen VO GmbH & Co. KG";"ABR953565264700";"17.9.2024"
"SEE967108536407";"WEA 02";"In Planung";"";"17.9.2024";"Wind";"6200";"6200";"57319";"Bad Berleburg";"Eurowind Energy GmbH";"ABR928567608968";"17.9.2024"
"SEE917315601764";"WEA 03";"In Planung";"";"17.9.2024";"Wind";"6200";"6200";"57319";"Bad Berleburg";"Eurowind Energy GmbH";"ABR928567608968";"17.9.2024"
"SEE931931854571";"DMVO 02";"In Planung";"";"17.9.2024";"Wind";"4260";"4260";"25821";"Vollstedt";"Dree Möhlen VO GmbH & Co. KG";"ABR953565264700";"17.9.2024"
"SEE965745865942";"WEA 05";"In Planung";"";"17.9.2024";"Wind";"6200";"6200";"57319";"Bad Berleburg";"Eurowind Energy GmbH";"ABR928567608968";"17.9.2024"
"SEE972287867259";"DMVO 03";"In Planung";"";"17.9.2024";"Wind";"4260";"4260";"25821";"Vollstedt";"Dree Möhlen VO GmbH & Co. KG";"ABR953565264700";"17.9.2024"
"SEE946178507371";"WEA 06";"In Planung";"";"17.9.2024";"Wind";"6200";"6200";"57319";"Bad Berleburg";"Eurowind Energy GmbH";"ABR928567608968";"17.9.2024"
"SEE959293887617";"WEA 07";"In Planung";"";"17.9.2024";"Wind";"6200";"6200";"57319";"Bad Berleburg";"Eurowind Energy GmbH";"ABR928567608968";"17.9.2024"
"SEE998848149244";"WEA 08";"In Planung";"";"17.9.2024";"Wind";"6200";"6200";"57319";"Bad Berleburg";"Eurowind Energy GmbH";"ABR928567608968";"17.9.2024"
"SEE998286058351";"Garnholt Repowering WEA 1";"In Planung";"";"17.9.2024";"Wind";"6800";"6800";"26655";"Westerstede";"Alterric Deutschland GmbH";"ABR927397646904";"17.9.2024"
"SEE945782084636";"Garnholt Repowering WEA 2";"In Planung";"";"17.9.2024";"Wind";"6800";"6800";"26655";"Westerstede";"Alterric Deutschland GmbH";"ABR927397646904";"17.9.2024"
"SEE972206472441";"Garnholt Repowering WEA 3";"In Planung";"";"17.9.2024";"Wind";"6800";"6800";"26655";"Westerstede";"Alterric Deutschland GmbH";"ABR927397646904";"17.9.2024"
"SEE925554984784";"Garnholt Repowering WEA 4";"In Planung";"";"17.9.2024";"Wind";"6800";"6800";"26655";"Westerstede";"Alterric Deutschland GmbH";"ABR927397646904";"17.9.2024"
"SEE978097216386";"Happenberg";"In Planung";"";"17.9.2024";"Wind";"4260";"4260";"33184";"Altenbeken";"Happenberg Windgemeinschaft GbR";"ABR963834105634";"30.9.2024"
"SEE928990214590";"Garnholt Repowering WEA 5";"In Planung";"";"17.9.2024";"Wind";"6800";"6800";"26655";"Westerstede";"Alterric Deutschland GmbH";"ABR927397646904";"17.9.2024"
"SEE926215438158";"WEA 1 V172 Diemelwind Marsberg";"In Planung";"";"17.9.2024";"Wind";"7200";"7200";"34431";"Marsberg";"Diemelwind Marsberg GbR";"ABR961671857051";"17.9.2024"
"SEE995276607414";"WEA 2 V162 Diemelwind Marsberg";"In Planung";"";"17.9.2024";"Wind";"7200";"7200";"34431";"Marsberg";"Diemelwind Marsberg GbR";"ABR961671857051";"17.9.2024"
"SEE935389526165";"Naturavis Haar GmbH & Co. KG";"In Planung";"";"17.9.2024";"Wind";"2300";"2300";"59581";"Warstein";"Naturavis Haar GmbH & Co. KG";"ABR998309459363";"4.10.2024"
"SEE951512415656";"WB08 - 1381107";"In Betrieb";"30.8.2024";"16.9.2024";"Wind";"4200";"4200";"33181";"Bad Wünnenberg";"Windpark Wohlbedacht GmbH & Co. KG I. Betriebsgesellschaft";"ABR903311294772";"13.10.2024"
"SEE967708980259";"Lonig_Solar_Rüberer Weg2_Stall_wind";"In Planung";"";"16.9.2024";"Wind";"0,9";"0,9";"56295";"Lonnig";"(natürliche Person)";"ABR942768280600";"16.9.2024"
"SEE971822848616";"WEA 5 Hückelhoven Doveren";"In Planung";"";"16.9.2024";"Wind";"6000";"6000";"41812";"Erkelenz";"MLK Consulting GmbH & Co. KG";"ABR905703903613";"16.9.2024"
"SEE984647973265";"WEA 05 [V02] - Nordex N175/6800";"In Betrieb";"10.9.2024";"14.9.2024";"Wind";"6800";"6800";"24992";"Janneby";"Bürgerwindpark Janneby eG";"ABR920000488434";"14.9.2024"
"SEE911046721272";"Marienmünster-Bredenborn WEA 7-Energieverbund";"In Planung";"";"13.9.2024";"Wind";"7200";"7200";"37696";"Marienmünster";"Energieverbund Marienmünster GmbH & Co. KG";"ABR919835796425";"13.9.2024"
"SEE942855361762";"WEA 07 - VaV";"In Planung";"";"13.9.2024";"Wind";"7200";"7200";"33184";"Altenbeken";"Ventus at Via GmbH & Co. KG";"ABR998555489572";"13.9.2024"
"SEE948022319208";"WEA ZZ03";"In Planung";"";"13.9.2024";"Wind";"4800";"4800";"06712";"Gutenborn";"EE Schnaudertal GmbH & Co. KG";"ABR930508516676";"13.9.2024"
"SEE980980753830";"WEA ZZ04";"In Planung";"";"13.9.2024";"Wind";"4800";"4800";"06712";"Schnaudertal";"EE Schnaudertal GmbH & Co. KG";"ABR930508516676";"13.9.2024"
"SEE956212762963";"WEA ZZ05";"In Planung";"";"13.9.2024";"Wind";"4800";"4800";"06712";"Schnaudertal";"EE Schnaudertal GmbH & Co. KG";"ABR930508516676";"13.9.2024"
"SEE919923544457";"WEA ZZ06";"In Planung";"";"13.9.2024";"Wind";"4800";"4800";"06712";"Schnaudertal";"EE Schnaudertal GmbH & Co. KG";"ABR930508516676";"13.9.2024"
"SEE910585125343";"Olsberg-Mannstein WEA 06";"In Betrieb";"28.8.2024";"12.9.2024";"Wind";"3450";"3450";"59939";"Olsberg";"MVV Windenergie GmbH";"ABR982511102919";"29.9.2024"
"SEE910187724388";"Olsberg-Mannstein WEA 07";"In Betrieb";"5.9.2024";"12.9.2024";"Wind";"3450";"3450";"59939";"Olsberg";"MVV Windenergie GmbH";"ABR982511102919";"11.10.2024"
"SEE946132616651";"Marienmünster-Bredenborn WEA 5";"In Planung";"";"12.9.2024";"Wind";"7200";"7200";"37696";"Marienmünster";"Windenergie Marienmünster / Bredenborn GbR";"ABR968078363222";"12.9.2024"
"SEE979657400887";"Marienmünster-Bredenborn WEA 6";"In Planung";"";"12.9.2024";"Wind";"7200";"7200";"37696";"Marienmünster";"Windenergie Marienmünster / Bredenborn GbR";"ABR968078363222";"12.9.2024"
"SEE932508047051";"WEA 01-Holtrop-82-E2-001";"In Planung";"";"12.9.2024";"Wind";"2300";"2300";"26629";"Großefehn";"Kohler Erneuerbare Energien";"ABR977669510167";"12.9.2024"
"SEE959029464570";"WEA 02-Holtrop-82-E2-002";"In Planung";"";"12.9.2024";"Wind";"2300";"2300";"26629";"Großefehn";"Kohler Erneuerbare Energien";"ABR977669510167";"12.9.2024"
"SEE943041171042";"WEA 03-Holtrop-82-E2-003";"In Planung";"";"12.9.2024";"Wind";"2300";"2300";"26629";"Großefehn";"Kohler Erneuerbare Energien";"ABR977669510167";"12.9.2024"
"SEE928723392755";"WEA 04-Holtrop-82-E2-004";"In Planung";"";"12.9.2024";"Wind";"2300";"2300";"26629";"Großefehn";"Kohler Erneuerbare Energien";"ABR977669510167";"12.9.2024"
"SEE958258595864";"WEA 05-Holtrop-82-E2-005";"In Planung";"";"12.9.2024";"Wind";"2300";"2300";"26629";"Großefehn";"Kohler Erneuerbare Energien";"ABR977669510167";"12.9.2024"
"SEE993082304657";"WEA 06-Holtrop-82-E2-006";"In Planung";"";"12.9.2024";"Wind";"2300";"2300";"26632";"Ihlow";"Kohler Erneuerbare Energien";"ABR977669510167";"12.9.2024"
"SEE904698793780";"WEA 07-Holtrop-82-E2-007";"In Planung";"";"12.9.2024";"Wind";"2300";"2300";"26632";"Ihlow";"Kohler Erneuerbare Energien";"ABR977669510167";"12.9.2024"
"SEE990486306621";"WEA 08-Holtrop-82-E2-008";"In Planung";"";"12.9.2024";"Wind";"2300";"2300";"26632";"Ihlow";"Kohler Erneuerbare Energien";"ABR977669510167";"12.9.2024"
"SEE913760932477";"WEA 09-Holtrop-138-E3-001";"In Planung";"";"12.9.2024";"Wind";"4500";"4500";"26629";"Großefehn";"Kohler Erneuerbare Energien";"ABR977669510167";"12.9.2024"
"SEE924247888866";"WEA 10-Holtrop-138-E3-002";"In Planung";"";"12.9.2024";"Wind";"4500";"4500";"26629";"Großefehn";"Kohler Erneuerbare Energien";"ABR977669510167";"12.9.2024"
"SEE921503330916";"WEA 11-Holtrop-138-E3-003";"In Planung";"";"12.9.2024";"Wind";"4500";"4500";"26629";"Großefehn";"Kohler Erneuerbare Energien";"ABR977669510167";"12.9.2024"
"SEE938930921051";"WEA 12-Holtrop-138-E3-004";"In Planung";"";"12.9.2024";"Wind";"4500";"4500";"26629";"Großefehn";"Kohler Erneuerbare Energien";"ABR977669510167";"12.9.2024"
"SEE964040532757";"WEA 2";"In Betrieb";"10.9.2024";"10.9.2024";"Wind";"6800";"6800";"33175";"Bad Lippspringe";"Flütwind GmbH & Co. KG";"ABR927489477492";"14.10.2024"
"SEE997322419743";"1470047";"In Betrieb";"23.8.2024";"10.9.2024";"Wind";"5000";"5000";"53949";"Dahlem";"Windpark Dahlem Fünf";"ABR919009363699";"11.9.2024"
"SEE971344643768";"WEA 16";"In Planung";"";"10.9.2024";"Wind";"4200";"4200";"25917";"Leck";"Windpark Schnatebüll Repowering GmbH & Co.KG";"ABR930467309548";"10.9.2024"
"SEE922955001027";"WEA Bronkow 02";"In Planung";"";"10.9.2024";"Wind";"6600";"6600";"03205";"Bronkow";"UKA Umweltgerechte Kraftanlagen GmbH & Co. KG";"ABR999408386086";"10.9.2024"
"SEE904780070980";"WEA Bronkow 03";"In Planung";"";"10.9.2024";"Wind";"6600";"6600";"03205";"Bronkow";"UKA Umweltgerechte Kraftanlagen GmbH & Co. KG";"ABR999408386086";"10.9.2024"
"SEE948188563149";"Windkraft-Brink";"In Planung";"";"10.9.2024";"Wind";"5";"5";"26810";"Westoverledingen";"(natürliche Person)";"ABR947208808239";"10.9.2024"
"SEE983215630630";"WEA Bronkow 04";"In Planung";"";"10.9.2024";"Wind";"6600";"6600";"03205";"Bronkow";"UKA Umweltgerechte Kraftanlagen GmbH & Co. KG";"ABR999408386086";"10.9.2024"
"SEE993748963082";"WEA Bronkow 06";"In Planung";"";"10.9.2024";"Wind";"6600";"6600";"03205";"Bronkow";"UKA Umweltgerechte Kraftanlagen GmbH & Co. KG";"ABR999408386086";"10.9.2024"
"SEE906331074591";"WEA 1";"In Planung";"";"10.9.2024";"Wind";"3450";"3450";"57537";"Wissen";"Windpark Hümmerich GmbH & Co. KG";"ABR930305064882";"10.9.2024"
"SEE968714375978";"WEA 4";"In Planung";"";"10.9.2024";"Wind";"3450";"3450";"57537";"Wissen";"Windpark Hümmerich GmbH & Co. KG";"ABR930305064882";"10.9.2024"
"SEE927403074677";"Windrad KSD";"In Betrieb";"9.9.2024";"9.9.2024";"Wind";"0,6";"0,6";"18233";"Am Salzhaff";"(natürliche Person)";"ABR977584107015";"9.9.2024"
"SEE997397188261";"WKA 7";"In Planung";"";"9.9.2024";"Wind";"5600";"5600";"15306";"Vierlinden";"eno energy GmbH";"ABR918822616838";"9.9.2024"
"SEE976061105155";"WKA 10";"In Planung";"";"9.9.2024";"Wind";"5600";"5600";"15306";"Vierlinden";"eno energy GmbH";"ABR918822616838";"9.9.2024"
"SEE948957688707";"WEA02 Aurea";"In Planung";"";"9.9.2024";"Wind";"6800";"6800";"33378";"Rheda-Wiedenbrück";"Windenergie zur Marburg Dienstleistungs GmbH";"ABR976426622792";"9.9.2024"
"SEE958912367639";"WEA 1";"In Betrieb";"5.9.2024";"6.9.2024";"Wind";"6800";"6800";"33175";"Bad Lippspringe";"Linas Betriebs GmbH & Co. KG";"ABR931086202654";"14.10.2024"
"SEE922909633472";"ABO Wind WP Drensteinfurt WEA 1";"In Betrieb";"28.8.2024";"6.9.2024";"Wind";"4800";"4800";"48317";"Drensteinfurt";"WP Drensteinfurt GmbH & Co. KG";"ABR936850755671";"6.9.2024"
"SEE916659584221";"WEA 1603344 OBR2 / WEA 05.19 Issum";"In Betrieb";"5.9.2024";"6.9.2024";"Wind";"5560";"5560";"47661";"Issum";"SL Windpark Issum GmbH & Co. KG";"ABR953122071376";"6.9.2024"
"SEE969140606278";"WEA 1603346  R1 / WEA 12.15 Issum";"In Betrieb";"3.9.2024";"6.9.2024";"Wind";"5560";"5560";"47509";"Rheurdt";"Niederrhein Wind GmbH & Co. KG";"ABR913706602891";"6.9.2024"
"SEE959701601927";"ANTARIS 7.5";"In Betrieb";"6.9.2024";"6.9.2024";"Wind";"7,5";"7,5";"49326";"Melle";"(natürliche Person)";"ABR909791957558";"6.9.2024"
"SEE993341144499";"WEA MBF 04";"In Planung";"";"6.9.2024";"Wind";"5600";"5600";"16945";"Meyenburg";"KWE New Energy GmbH";"ABR933160347206";"6.9.2024"
"SEE975875611814";"WEA 01-Wiegboldsbur-Uthwerdum-82-E2-001";"In Planung";"";"6.9.2024";"Wind";"2300";"2300";"26624";"Südbrookmerland";"Kohler Erneuerbare Energien";"ABR977669510167";"5.9.2024"
"SEE969907361556";"WEA 02-Wiegboldsbur-Uthwerdum-160-R1-001";"In Planung";"";"6.9.2024";"Wind";"5560";"5560";"26624";"Südbrookmerland";"Kohler Erneuerbare Energien";"ABR977669510167";"5.9.2024"
"SEE911355191858";"WEA 03-Wiegboldsbur-Uthwerdum-160-R1-002";"In Planung";"";"6.9.2024";"Wind";"5560";"5560";"26624";"Südbrookmerland";"Kohler Erneuerbare Energien";"ABR977669510167";"5.9.2024"
"SEE929338861728";"WEA 04-Wiegboldsbur-Uthwerdum-160-R1-003";"In Planung";"";"6.9.2024";"Wind";"5560";"5560";"26624";"Südbrookmerland";"Kohler Erneuerbare Energien";"ABR977669510167";"5.9.2024"
"SEE907567247285";"WEA 05-Wiegboldsbur-Uthwerdum-160-R1-004";"In Planung";"";"6.9.2024";"Wind";"5560";"5560";"26624";"Südbrookmerland";"Kohler Erneuerbare Energien";"ABR977669510167";"5.9.2024"
"SEE933879354427";"WEA 06-Wiegboldsbur-Uthwerdum-160-R1-005";"In Planung";"";"6.9.2024";"Wind";"5560";"5560";"26624";"Südbrookmerland";"Kohler Erneuerbare Energien";"ABR977669510167";"5.9.2024"
"SEE989662358752";"WEA 07-Wiegboldsbur-Uthwerdum-160-R1-006";"In Planung";"";"6.9.2024";"Wind";"5560";"5560";"26624";"Südbrookmerland";"Kohler Erneuerbare Energien";"ABR977669510167";"5.9.2024"
"SEE929150388779";"WEA 08-Wiegboldsbur-Uthwerdum-160-R1-007";"In Planung";"";"6.9.2024";"Wind";"5560";"5560";"26624";"Südbrookmerland";"Kohler Erneuerbare Energien";"ABR977669510167";"5.9.2024"
"SEE966466117259";"WEA 09-Wiegboldsbur-Uthwerdum-160-R1-008";"In Planung";"";"6.9.2024";"Wind";"5560";"5560";"26624";"Südbrookmerland";"Kohler Erneuerbare Energien";"ABR977669510167";"5.9.2024"
"SEE981253132987";"WEA 10-Wiegboldsbur-Uthwerdum-160-R1-009";"In Planung";"";"6.9.2024";"Wind";"5560";"5560";"26624";"Südbrookmerland";"Kohler Erneuerbare Energien";"ABR977669510167";"5.9.2024"
"SEE917393614953";"WEA 11-Wiegboldsbur-Uthwerdum-160-R1-010";"In Planung";"";"6.9.2024";"Wind";"5560";"5560";"26624";"Südbrookmerland";"Kohler Erneuerbare Energien";"ABR977669510167";"5.9.2024"
"SEE958601268360";"WEA 12-Wiegboldsbur-Uthwerdum-160-R1-011";"In Planung";"";"6.9.2024";"Wind";"5560";"5560";"26624";"Südbrookmerland";"Kohler Erneuerbare Energien";"ABR977669510167";"5.9.2024"
"SEE984032575173";"WEA 13-Wiegboldsbur-Uthwerdum-160-R1-012";"In Planung";"";"6.9.2024";"Wind";"5560";"5560";"26624";"Südbrookmerland";"Kohler Erneuerbare Energien";"ABR977669510167";"5.9.2024"
"SEE978998878041";"WEA 14-Wiegboldsbur-Uthwerdum-175-E2-001";"In Planung";"";"6.9.2024";"Wind";"7000";"7000";"26624";"Südbrookmerland";"Kohler Erneuerbare Energien";"ABR977669510167";"5.9.2024"
"SEE961874624696";"WEA 15-Wiegboldsbur-Uthwerdum-175-E2-002";"In Planung";"";"6.9.2024";"Wind";"7000";"7000";"26624";"Südbrookmerland";"Kohler Erneuerbare Energien";"ABR977669510167";"5.9.2024"
"SEE951509825512";"WEA 16-Wiegboldsbur-Uthwerdum-175-E2-003";"In Planung";"";"6.9.2024";"Wind";"7000";"7000";"26624";"Südbrookmerland";"Kohler Erneuerbare Energien";"ABR977669510167";"5.9.2024"
"SEE936887835568";"WEA 17-Wiegboldsbur-Uthwerdum-175-E2-004";"In Planung";"";"6.9.2024";"Wind";"7000";"7000";"26624";"Südbrookmerland";"Kohler Erneuerbare Energien";"ABR977669510167";"5.9.2024"
"SEE985141805915";"WEA 18-Wiegboldsbur-Uthwerdum-175-E2-005";"In Planung";"";"6.9.2024";"Wind";"7000";"7000";"26624";"Südbrookmerland";"Kohler Erneuerbare Energien";"ABR977669510167";"6.9.2024"
"SEE997043685601";"WEA 01-Schoonorth-160-R1-001";"In Planung";"";"6.9.2024";"Wind";"5560";"5560";"26736";"Krummhörn";"Kohler Erneuerbare Energien";"ABR977669510167";"6.9.2024"
"SEE995076856487";"WEA 02-Schoonorth-160-R1-002";"In Planung";"";"6.9.2024";"Wind";"5560";"5560";"26736";"Krummhörn";"Kohler Erneuerbare Energien";"ABR977669510167";"6.9.2024"
"SEE956408001623";"WEA 03-Schoonorth-160-R1-003";"In Planung";"";"6.9.2024";"Wind";"5560";"5560";"26736";"Krummhörn";"Kohler Erneuerbare Energien";"ABR977669510167";"6.9.2024"
"SEE963058316304";"WEA 04-Schoonorth-160-R1-004";"In Planung";"";"6.9.2024";"Wind";"5560";"5560";"26736";"Krummhörn";"Kohler Erneuerbare Energien";"ABR977669510167";"6.9.2024"
"SEE944425963253";"WEA MBF 05";"In Planung";"";"6.9.2024";"Wind";"5600";"5600";"16945";"Meyenburg";"KWE New Energy GmbH";"ABR933160347206";"6.9.2024"
"SEE990837459846";"WEA MBF 06";"In Planung";"";"6.9.2024";"Wind";"5600";"5600";"16945";"Meyenburg";"KWE New Energy GmbH";"ABR933160347206";"6.9.2024"
"SEE907165464749";"WEA MBF 07";"In Planung";"";"6.9.2024";"Wind";"5600";"5600";"16945";"Meyenburg";"KWE New Energy GmbH";"ABR933160347206";"6.9.2024"
"SEE917840143654";"WEA 2";"In Planung";"";"5.9.2024";"Wind";"5560";"5560";"35260";"Stadtallendorf";"EAM Natur Energie GmbH";"ABR994319947715";"5.9.2024"
"SEE918639701116";"WEA 3";"In Planung";"";"5.9.2024";"Wind";"5560";"5560";"35260";"Stadtallendorf";"EAM Natur Energie GmbH";"ABR994319947715";"5.9.2024"
"SEE951197071079";"WEA 4";"In Planung";"";"5.9.2024";"Wind";"5560";"5560";"35260";"Stadtallendorf";"EAM Natur Energie GmbH";"ABR994319947715";"5.9.2024"
"SEE956898289044";"WEA D04";"In Planung";"";"5.9.2024";"Wind";"6000";"6000";"33178";"Borchen";"Ort-Wind 1 GmbH & Co. KG";"ABR956055824576";"7.10.2024"
"SEE903849694075";"WEA2";"In Betrieb";"29.8.2024";"4.9.2024";"Wind";"6000";"6000";"18461";"Franzburg";"Norddeutsche Energie WP Franzburg GmbH & Co. KG";"ABR942866811850";"4.9.2024"
"SEE916376917241";"WEA3";"In Betrieb";"27.8.2024";"4.9.2024";"Wind";"5600";"5600";"16928";"Gerdshagen";"Norddeutsche Energie WP Falkenhagen GmbH & Co. KG";"ABR978172246635";"6.9.2024"
"SEE940584278870";"Trianel Windpark Sundern WEA 1";"In Planung";"";"4.9.2024";"Wind";"5560";"5560";"59846";"Sundern";"Trianel Wind und Solar GmbH & Co. KG";"ABR941611838548";"4.9.2024"
"SEE983517101128";"Trianel Windpark Sundern WEA 2";"In Planung";"";"4.9.2024";"Wind";"5560";"5560";"59846";"Sundern";"Trianel Wind und Solar GmbH & Co. KG";"ABR941611838548";"4.9.2024"
"SEE935467325901";"Trianel Windpark Sundern WEA 3";"In Planung";"";"4.9.2024";"Wind";"5560";"5560";"59846";"Sundern";"Trianel Wind und Solar GmbH & Co. KG";"ABR941611838548";"4.9.2024"
"SEE996159119062";"Trianel Windpark Sundern WEA 4";"In Planung";"";"4.9.2024";"Wind";"5560";"5560";"59846";"Sundern";"Trianel Wind und Solar GmbH & Co. KG";"ABR941611838548";"4.9.2024"
"SEE922361799297";"Trianel Windpark Sundern WEA 5";"In Planung";"";"4.9.2024";"Wind";"5560";"5560";"59846";"Sundern";"Trianel Wind und Solar GmbH & Co. KG";"ABR941611838548";"4.9.2024"
"SEE913610180218";"Reinsdorf 5";"In Planung";"";"4.9.2024";"Wind";"7200";"7200";"08141";"Reinsdorf";"Energieanlagen Frank Bündig GmbH";"ABR901540326530";"4.9.2024"
"SEE909559522608";"Trianel Windpark Sundern WEA 6";"In Planung";"";"4.9.2024";"Wind";"5560";"5560";"59846";"Sundern";"Trianel Wind und Solar GmbH & Co. KG";"ABR941611838548";"4.9.2024"
"SEE999312791471";"Trianel Windpark Sundern WEA 7";"In Planung";"";"4.9.2024";"Wind";"5560";"5560";"59846";"Sundern";"Trianel Wind und Solar GmbH & Co. KG";"ABR941611838548";"4.9.2024"
"SEE937358720741";"Trianel Windpark Sundern WEA 8";"In Planung";"";"4.9.2024";"Wind";"5560";"5560";"59846";"Sundern";"Trianel Wind und Solar GmbH & Co. KG";"ABR941611838548";"4.9.2024"
"SEE911161854077";"Trianel Windpark Sundern WEA 11";"In Planung";"";"4.9.2024";"Wind";"5560";"5560";"59846";"Sundern";"Trianel Wind und Solar GmbH & Co. KG";"ABR941611838548";"4.9.2024"
"SEE969148410532";"Trianel Windpark Sundern WEA 9";"In Planung";"";"4.9.2024";"Wind";"5560";"5560";"59846";"Sundern";"Trianel Wind und Solar GmbH & Co. KG";"ABR941611838548";"4.9.2024"
"SEE967918481225";"WEA 1";"In Planung";"";"4.9.2024";"Wind";"5560";"5560";"35260";"Stadtallendorf";"EAM Natur Energie GmbH";"ABR994319947715";"5.9.2024"
